Entry,chr5AS_status,KASP_341510829,BLUP_TGW,BLUP_GL,BLUP_GW,BLUP_HD
HC05.A33,absent,W7984,30.0093955,6.63312227,2.967292831,179.705
HC05.B110,present,W7984,32.60840246,6.144837629,3.06102908,182.554
HC05.B166,present,Opata,33.7865119,6.802890693,2.950640434,185.877
HC05.B255,absent,W7984,31.39929778,6.617912888,2.98208562,182.316
HC05.B39,absent,W7984,32.33708199,6.654075314,3.006480319,190.221
HC05.B40,NA,W7984,-,-,-,
HC05.B46,absent,W7984,35.10186437,6.824813922,3.022799869,190.624
HC05.B48,present,Opata,32.56933088,6.523585485,3.069391954,177.569
HC05.B61,present,Opata,-,6.86021757,-,
HC05.C124,absent,W7984,35.20706142,7.0593642,3.049357314,180.892
HC05.C168,present,Opata,33.64971785,6.751705221,2.970252247,189.912
HC05.C177,absent,W7984,30.44054803,6.639742994,2.94549605,178.756
HC05.C232,absent,W7984,34.57026511,6.982960831,2.990098678,190.767
HC05.C235,present,Opata,32.04842685,6.702675523,3.159682908,183.503
HC05.C236,absent,W7984,29.91094539,7.01348572,2.812753796,179.705
HC05.C240,present,Opata,36.82758184,7.760892063,3.167152038,188.013
HC05.C244,absent,W7984,31.63665462,6.873587699,2.897326317,183.028
HC05.C245,absent,W7984,32.82412603,6.760886259,2.965181186,183.741
HC05.C247,absent,W7984,31.30563523,7.270464607,2.883967992,183.266
HC05.C257,present,Opata,30.1110293,6.43047963,2.950712612,186.589
HC05.C276,present,Opata,36.17922818,7.089876377,3.145014964,187.776
HC05.C333,present,Opata,34.10960671,6.927142991,3.051099944,190.624
HC05.C77,absent,W7984,35.13162941,6.994606268,2.974829534,188.725
HC05.C80,present,Opata,37.32756302,7.377029024,3.03728103,190.387
HC05.C83,present,Opata,28.76153057,6.495870663,3.01256723,178.519
HC05.D100,present,Opata,34.12377462,7.023011564,3.069296832,181.604
HC05.D102,present,Opata,31.36982537,6.697711502,3.126546614,183.266
HC05.D196,present,Opata,34.05088774,7.045427792,3.151183157,185.455
HC05.D227,absent,W7984,34.31896339,6.792513982,2.970937438,184.69
HC05.D337,present,Opata,40.48828813,7.162098613,3.188103251,189.437
HC05.D69,present,Opata,36.49085541,6.965910543,3.114083121,183.741
HC05.E145,NA,NA,-,-,-,
HC05.E147,absent,W7984,33.96011713,6.840393749,3.029501445,178.519
HC05.E148,present,Opata,32.66235939,7.365307822,2.980122908,188.725
HC05.E151,present,Opata,38.05123721,7.451585883,3.146477007,177.332
HC05.E154,absent,W7984,36.47968648,7.45930997,3.01156469,179.705
HC05.E157,absent,W7984,33.99015631,7.168314449,3.05899193,183.028
HC05.E159,present,Opata,39.62684603,7.42729413,3.157559791,189.912
HC05.E161,absent,W7984,34.46695064,7.022948944,3.008041467,185.639
HC05.E162,absent,W7984,33.19217849,7.074779324,2.933620309,182.316
HC05.E212,NA,Opata,41.0353088,7.811230799,3.10411505,188.488
HC05.E216,present,Opata,35.20512581,6.97119463,2.954420214,195.134
HC05.E87,NA,Opata,-,7.268777316,-,
HC06.A489,NA,Opata,37.91251332,7.364507039,3.090662776,188.25
HC06.A509,present,Opata,-,-,-,185.63
HC06.A520,present,Opata,35.62844685,6.735622295,3.1366934,182.316
HC06.B174,absent,W7984,31.84059558,6.822286586,3.016561284,184.69
HC06.B314,present,Opata,34.06045313,7.018873338,3.100426872,188.725
HC06.B326,absent,W7984,38.5257946,7.218497246,3.160740461,179.468
HC06.B335,present,Opata,36.6420106,6.696190923,3.18156331,187.538
HC06.B348,present,Opata,41.76986783,7.49023543,3.175534394,182.316
HC06.B366,NA,W7984,32.13416055,7.592061537,3.00369682,178.044
HC06.B367,present,Opata,37.62298512,7.129086115,3.090506948,189.2
HC06.B434,NA,W7984,34.47405447,7.057098314,2.972546068,185.639
HC06.B439,absent,W7984,34.56962909,7.111133739,2.980523964,181.604
HC06.C117,absent,W7984,31.82847925,6.629167962,2.947205495,181.604
HC06.C120,NA,NA,-,-,-,
HC06.C16,absent,W7984,34.58372043,7.410186702,2.957314432,187.064
HC06.C176,absent,W7984,38.26244933,6.869283847,3.101137239,188.725
HC06.C179,present,Opata,-,7.014835526,-,
HC06.C183,absent,W7984,35.39693462,7.201104711,2.985204354,182.791
HC06.C236,absent,W7984,34.45188577,7.296717018,2.978672423,182.554
HC06.C30,absent,W7984,36.93074726,7.485323815,2.959029627,186.352
HC06.C36,absent,W7984,36.42883279,7.426711497,3.084858433,182.079
HC06.C38,absent,W7984,38.82779742,7.586483993,3.07503592,178.993
HC06.C44,absent,W7984,35.51628044,7.063749783,2.999951313,185.402
HC06.C45,present,Opata,31.88320733,6.804412012,2.891084243,185.877
HC06.C469,absent,W7984,29.8984729,6.712536673,2.78067497,189.675
HC06.C470,present,Opata,40.05564515,7.09221583,3.213072664,183.028
HC06.C478,absent,W7984,32.80766279,7.063190944,2.991585034,184.927
HC06.C514,present,W7984,35.54820739,7.273675205,3.106860334,178.044
HC06.C70,NA,W7984,33.02367641,6.908235144,2.919673059,183.978
HC06.C75,present,Opata,41.41063591,7.234238082,3.127325726,183.266
HC06.C76,absent,W7984,36.31772314,7.138962189,3.093341576,183.028
HC06.D125,present,Opata,43.98990618,7.732308653,3.182434082,187.538
HC06.D129,absent,W7984,37.1763681,7.206604561,3.054525757,188.25
HC06.D13,present,Opata,32.7834414,7.063772007,2.963952957,180.892
HC06.D196,absent,W7984,41.29977167,7.66369303,3.063248349,191.336
HC06.D242,absent,W7984,33.69557488,6.496985237,3.03613874,186.352
HC06.D243,absent,W7984,37.97691869,7.301207369,2.979630277,181.604
HC06.D255,present,Opata,31.63704656,7.091778324,3.15490279,190.149
HC06.D256,present,Opata,-,-,-,186.622
HC06.D283,absent,W7984,34.26302729,6.90283139,3.007572867,183.503
HC06.E136,present,Opata,38.16092526,7.315522893,3.173098534,180.892
HC06.E140,NA,W7984,34.48791953,7.36325193,3.012153558,187.776
HC06.E147,present,Opata,40.14207144,7.341068387,3.172786878,182.791
HC06.E149,present,Opata,29.75583285,6.88404574,3.00472794,187.538
HC06.E151,absent,W7984,36.37626412,7.408947542,2.991142783,183.503
HC06.E162,absent,W7984,27.16552625,6.409174167,2.946142163,193.947
HC06.E206,present,Opata,36.50821759,7.049106375,3.07481355,194.659
HC06.E214,absent,W7984,32.19267634,6.910092779,3.005987152,182.554
HC06.E216,absent,W7984,38.63254525,7.444123826,3.074343834,187.538
HC06.E221,present,Opata,38.53967891,6.853571117,3.076481799,188.962
HC06.E275,present,Opata,39.74564245,7.228878858,3.283637229,184.927
HC06.E295,present,Opata,38.53845166,7.091602706,3.126165069,184.927
HC06.E298,absent,W7984,31.19116945,6.950579338,2.886728096,185.402
HC06.E304,present,Opata,38.34373611,6.793506244,3.23332381,186.589
HC06.E416,absent,W7984,33.35493485,6.925230797,2.911879656,183.503
HC06.E449,present,Opata,-,-,-,191.779
HC06.E451,present,Opata,42.82698399,7.223334346,3.208246745,184.927
HC06.F717,absent,W7984,33.00472656,6.873891153,3.037307407,186.352
HC06.F731,present,Opata,35.36831509,7.34193164,2.981835786,192.286
HC06.F734,present,Opata,46.48145279,7.675328299,3.288172119,184.453
HC06.F758,present,Opata,37.5285667,7.257129964,3.154287574,181.367
HC06.F764,absent,W7984,37.52444644,7.045578574,3.071861028,181.13
HC06.F770,absent,W7984,34.51730189,6.779191623,3.046570862,178.044
HC06.F880,absent,W7984,29.67754465,7.031106752,2.753990448,182.554
HC06.F895,absent,W7984,33.53455174,6.68722429,3.042966306,181.367
HC06.F973,absent,W7984,35.64432287,7.032878122,2.990019917,188.25
HC06.F974,present,Opata,34.53693048,6.890286391,3.191636802,180.892
HC06.G1020,present,Opata,32.10545906,6.765446878,2.970648641,196.083
HC06.G1048,present,Opata,35.38207196,7.099112979,3.128255482,186.352
HC06.G982,present,Opata,31.63598273,6.738644666,3.052792224,189.912
HC06.G993,present,Opata,41.25965405,7.134608988,3.232988123,183.503
HC06.H610,absent,W7984,36.51500006,6.936008228,3.045638183,184.215
HC06.H613,present,Opata,39.39629166,6.957952552,3.147006256,192.048
HC06.H614,present,Opata,35.36800415,6.770269047,3.134705513,183.503
HC06.H637,absent,W7984,36.55193763,7.286407704,3.051020928,183.741
HC06.H643,present,Opata,35.47489183,7.159779969,3.284449526,191.811
HC06.H648,present,Opata,40.18495055,7.019570915,3.254428563,186.589
HC06.H697,present,Opata,36.09694424,6.966063782,3.205139454,186.826
HC06.H703,absent,W7984,31.65512127,6.415628302,2.989929458,178.993
HC06.H704,absent,W7984,37.59887286,7.591676519,2.998621096,185.165
HC06.H739,present,Opata,33.72142536,7.083322712,3.101578374,185.165
HC06.H740,present,Opata,39.0685347,6.631859327,3.262600077,184.69
HC06.H742,present,Opata,33.98767887,7.221143816,3.008010513,188.725
HC06.H744,present,Opata,39.33494942,7.357279175,3.14836631,184.215
HC06.H745,present,Opata,32.92715126,6.834942577,3.123799098,183.741
HC06.H775,absent,Opata,40.38457424,7.27114431,3.213533225,188.25
HC06.H777,present,Opata,33.89332236,6.442561137,3.090269816,182.791
HC06.H844,present,Opata,36.82673084,7.452084027,3.17324289,182.316
HC06.H902,absent,W7984,34.48208571,6.548807851,2.972748842,189.675
HC06.H903,present,Opata,-,7.006627247,-,
HC06.H937,absent,W7984,-,-,-,
HC06.H939,present,W7984,35.52252223,7.073007497,3.075788683,178.281
HC06.H941,absent,W7984,37.00548145,7.330031704,3.047922821,182.791
HC06.H942,present,Opata,39.67923147,7.294390758,3.272431774,184.927
HC06.J784,absent,W7984,34.2239182,6.597592816,3.077231186,178.044
HC06.J790,present,Opata,29.29721852,6.525458723,3.06189988,177.807
HC06.J802,absent,W7984,35.4328565,7.066378529,3.079686529,178.756
HC06.J803,absent,W7984,36.86267432,7.210881937,3.094197443,184.69
HC06.J806,present,Opata,39.96600191,7.191267147,3.136013959,183.978
HC06.J811,absent,W7984,34.05877832,6.918244509,2.969101946,184.215
HC06.J813,absent,W7984,36.56967551,7.170563156,3.0032786,181.604
HC06.J912,present,Opata,36.36812045,7.216079715,3.14830672,186.114
HC06.J935,absent,W7984,29.31518144,6.559568947,2.926924482,190.861
HC06.J948,absent,W7984,36.06917308,6.927567992,3.085938873,182.791
HC06.J949,absent,W7984,31.65964434,6.612610724,2.994072103,184.084
HC06.J961,absent,W7984,35.57108122,7.173707421,3.046432199,182.554
HC06.J962,present,Opata,41.81981331,7.688491181,3.229636806,182.316
HC06.J970,present,Opata,36.25199215,6.875171241,3.136442479,182.554
HC06.K578,absent,W7984,33.92447755,7.280456098,2.856003604,186.352
HC06.K581,present,Opata,40.80956225,7.117226496,3.158565792,184.69
HC06.K585,absent,W7984,-,6.306376183,-,
HC06.K589,present,Opata,39.61640839,7.17757222,3.211121424,187.064
HC06.K593,absent,Opata,33.89105682,6.953537414,2.998550062,184.69
HC06.K594,absent,W7984,30.16431463,6.645972983,2.851520295,183.266
HC06.K598,present,Opata,31.87074691,7.012342116,3.051726689,187.538
HC06.K671,absent,W7984,32.72623483,7.10024002,2.89243397,180.655
HC06.K678,absent,W7984,34.00254499,7.136927368,2.959140798,180.892
HC06.K688,present,Opata,34.26260642,6.980698733,3.185879348,189.2
