SynOpHIF,Entry,Year,Location,Rep,chr5AS_consensus,KASP_341510829,TGW,GL,GW,SPS,HD,GFD,HT
7-1201-10,7-1201-10-14-2-14,2019,Snyder,A,absent,W7984,29.80064143,6.5534,2.9468,16.8,171,,88
7-1201-10,7-1201-10-15-2-31,2019,Snyder,A,present,Opata,38.90637363,6.9227,3.1772,13.7,170,,80
7-1201-10,7-1201-10-36-2-04,2019,Snyder,A,present,Opata,36.38825322,6.7449,3.1449,14.2,170,31.5,
7-1201-10,7-1201-10-36-2-10,2019,Snyder,A,absent,W7984,34.00646777,6.5381,2.96795,14.2,171,31.9,74
7-1201-10,7-1201-10-36-2-18,2019,Snyder,A,absent,W7984,32.81591444,6.3514,2.9629,15.4,171,31.6,78
7-1201-10,7-1201-10-36-2-25,2019,Snyder,A,present,Opata,38.97473087,6.7133,3.22425,14.7,172,29.5,74
7-1201-10,7-1201-10-43-2-03,2019,Snyder,A,present,Opata,37.25259867,6.5323,3.17295,16.1,172,,75
7-1201-10,7-1201-10-43-2-04,2019,Snyder,A,present,Opata,35.52598669,6.33995,3.1178,16.4,174,,78
7-1201-10,7-1201-10-43-2-12,2019,Snyder,A,present,Opata,31.60136508,6.0984,2.99975,15.6,172,,72
7-1201-10,7-1201-10-43-2-16,2019,Snyder,A,present,Opata,34.90630178,6.41305,3.07935,14.6,171,,70
7-1201-10,7-1201-10-43-2-20,2019,Snyder,A,present,Opata,36.81819868,6.37815,3.2403,14.9,171,,78
7-1201-10,7-1201-10-43-2-22,2019,Snyder,A,present,Opata,34.68699992,6.3436,3.122,16.4,171,,72
7-1201-10,7-1201-10-45-2-01,2019,Snyder,A,absent,W7984,28.92586659,6.30925,2.90385,14.3,172,,74
7-1201-10,7-1201-10-45-2-23,2019,Snyder,A,absent,W7984,29.13822465,6.2408,2.8367,15.8,172,30.5,66
7-1201-10,7-1201-10-45-2-43,2019,Snyder,A,present,Opata,34.70501106,6.39575,3.1092,17,172,,74
7-1201-10,7-1201-10-45-2-61,2019,Snyder,A,present,Opata,36.03409091,6.6087,3.19365,14.4,170,,74
7-1201-10,7-1201-10-72-1-05,2019,Snyder,A,absent,W7984,32.66226043,6.39395,2.9934,15.8,170,,76
7-1201-10,7-1201-10-72-1-08,2019,Snyder,A,absent,W7984,30.27099905,6.32395,2.9258,13.9,169,,75
7-1201-10,7-1201-10-72-1-18,2019,Snyder,A,absent,W7984,29.82433962,6.36065,2.89555,15.8,172,,75
7-1201-10,7-1201-10-72-1-29,2019,Snyder,A,absent,W7984,29.49917168,6.3807,2.88675,14,171,,84
7-1201-10,7-1201-10-72-1-30,2019,Snyder,A,absent,W7984,31.50294481,6.37245,2.99465,14.8,169,,79
7-1201-4,7-1201-4-27-1-26,2019,Snyder,A,present,Opata,40.31625574,6.81845,3.30145,14.3,171,,81
7-1201-4,7-1201-4-27-1-30,2019,Snyder,A,absent,W7984,33.00520019,6.49575,3.04695,13.7,170,,78
7-1201-4,7-1201-4-29-1-07,2019,Snyder,A,absent,W7984,33.38030968,6.5198,3.0189,14.1,175,,79
7-1201-4,7-1201-4-29-1-10,2019,Snyder,A,absent,W7984,33.03661269,6.3777,3.03105,13.9,174,,77
7-1201-4,7-1201-4-29-1-15,2019,Snyder,A,absent,W7984,30.58398191,6.4267,2.9638,15.3,179,,75
7-1201-4,7-1201-4-29-1-16,2019,Snyder,A,absent,W7984,32.39428323,6.2617,3.0118,15.7,174,,78
7-1201-4,7-1201-4-29-1-23,2019,Snyder,A,absent,W7984,32.69954467,6.438,2.9781,14.7,178,,75
7-1201-4,7-1201-4-29-1-27,2019,Snyder,A,absent,W7984,32.68844058,6.36455,3.02305,16,174,,76
7-1201-4,7-1201-4-29-1-28,2019,Snyder,A,absent,W7984,32.13854739,6.4716,2.97065,14.9,177,,76
7-1201-4,7-1201-4-29-1-32,2019,Snyder,A,absent,W7984,32.05891301,6.3713,2.97055,14.1,176,,72
7-1201-4,7-1201-4-29-1-33,2019,Snyder,A,absent,W7984,31.21299405,6.3652,2.9486,14.5,180,,80
7-1201-4,7-1201-4-43-1-14,2019,Snyder,A,absent,W7984,33.25644958,6.351,3.04455,14.4,170,,69
7-1201-4,7-1201-4-47-2-19,2019,Snyder,A,absent,W7984,32.50548128,6.428,2.9528,13.5,171,,78
7-1201-4,7-1201-4-50-1-08,2019,Snyder,A,present,Opata,37.55791532,6.5608,3.2224,13.8,173,,82
7-1201-4,7-1201-4-50-1-19,2019,Snyder,A,absent,W7984,33.05534345,6.4945,2.98445,14.4,174,,84
7-1201-4,7-1201-4-78-1-01,2019,Snyder,A,present,Opata,37.76294186,6.46295,3.2561,14.4,170,,80
7-1201-4,7-1201-4-78-2-02,2019,Snyder,A,present,Opata,38.43916388,6.5933,3.34795,16.4,168,,80
7-1201-4,7-1201-4-78-2-05,2019,Snyder,A,present,Opata,37.54544931,6.42395,3.2774,14.4,169,,84
7-1201-4,7-1201-4-78-2-10,2019,Snyder,A,present,Opata,38.26244484,6.45345,3.3275,14.3,168,,88
7-1201-4,7-1201-4-78-2-15,2019,Snyder,A,present,Opata,38.0678412,6.5348,3.3086,13.5,168,,80
7-1201-4,7-1201-4-78-2-25,2019,Snyder,A,present,Opata,36.42142622,6.45585,3.2207,14.6,170,,80
7-1201-4,7-1201-4-78-2-33,2019,Snyder,A,present,Opata,39.20465256,6.48365,3.3575,15.5,167,,88
7-1201-4,7-1201-4-81-1-09,2019,Snyder,A,present,Opata,38.820883,6.64285,3.3276,14,172,,86
7-1201-4,7-1201-4-81-1-19,2019,Snyder,A,present,Opata,39.74306116,6.64735,3.3472,13.6,172,,79
7-1201-4,7-1201-4-81-1-21,2019,Snyder,A,present,Opata,40.89434406,6.9641,3.3611,13,174,,75
7-1201-4,7-1201-4-81-1-28,2019,Snyder,A,present,Opata,39.35582232,6.57505,3.3276,15.2,175,,80
7-1201-4,7-1201-4-81-1-31,2019,Snyder,A,present,Opata,37.88486941,6.70425,3.27635,14.5,173,,86
7-1201-4,7-1201-4-81-1-39,2019,Snyder,A,present,Opata,38.52403264,6.4757,3.33285,14.7,171,,80
7-1201-4,7-1201-4-81-1-42,2019,Snyder,A,present,Opata,39.53263304,6.8617,3.3372,17,171,,88
7-1201-4,7-1201-4-81-1-43,2019,Snyder,A,present,Opata,40.90428139,6.76915,3.37705,14.5,171,,90
