,entry,BLUP_TGW,BLUP_GL,BLUP_GW,BLUP_SPS,BLUP_HD,BLUP_GFD,BLUP_HT
1,7-1201-10-14-2-14,35.7035741,6.873942772,3.30064028,14.03633098,172.0323501,28.78703112,74.44569728
2,7-1201-10-15-2-31,37.3051484,7.056909695,3.248140685,12.84618973,172.5308594,29.28554041,71.85274318
3,7-1201-10-36-2-04,36.88191449,6.84676804,3.272662871,13.28287273,172.5308594,29.28554041,70.39540279
4,7-1201-10-36-2-10,37.41793678,6.764867563,3.301595972,13.35219429,172.7525143,29.50719529,69.80987759
5,7-1201-10-36-2-18,36.51609715,6.659205525,3.288857033,13.67242848,172.2724049,29.02708585,73.34193069
6,7-1201-10-36-2-25,36.14062739,6.795070682,3.239669779,13.06453123,173.4910783,30.2457593,69.20370335
7,7-1201-10-43-2-03,35.32292716,6.628844227,3.22674456,13.67469547,173.309209,30.06388995,70.74299213
8,7-1201-10-43-2-04,33.64347587,6.50198896,3.180329999,13.98156552,174.9314066,31.68608764,68.09993675
9,7-1201-10-43-2-12,32.10494714,6.403858838,3.12643918,13.99837674,174.2568616,31.01154262,67.62679469
10,7-1201-10-43-2-16,34.52388192,6.628457349,3.204408231,13.55544448,172.6774405,29.43212151,68.7599574
11,7-1201-10-43-2-20,34.08776799,6.533269363,3.233112495,13.58951619,172.9933247,29.74800573,72.72602686
12,7-1201-10-43-2-22,33.28574506,6.447301958,3.189896553,13.98134088,172.6774405,29.43212151,69.04324807
13,7-1201-10-45-2-01,34.54858397,6.640969438,3.258622416,13.62876018,172.0323501,28.78703112,68.48535767
14,7-1201-10-45-2-23,34.09312606,6.506417342,3.204593242,13.74520898,172.7525143,29.50719529,63.84953797
15,7-1201-10-45-2-43,32.90176689,6.517919994,3.159228041,14.10881323,174.3605658,31.11524675,64.77659605
16,7-1201-10-45-2-61,34.7700364,6.762621173,3.244936945,12.96263853,172.05075,28.80543096,70.30746994
17,7-1201-10-72-1-05,35.13172058,6.637520151,3.281685235,13.33520116,171.7905999,28.54528085,73.4510955
18,7-1201-10-72-1-08,35.33567814,6.622222369,3.290689134,13.40334459,170.8429472,27.59762818,69.48502604
19,7-1201-10-72-1-18,34.66492076,6.603281491,3.258155785,13.65888243,172.1064841,28.86116507,69.48502604
20,7-1201-10-72-1-29,34.03922835,6.646467082,3.239009011,13.22118939,171.5522407,28.30692168,75.10795724
21,7-1201-10-72-1-30,35.43989693,6.615290814,3.3064633,13.1648426,170.527063,27.28174396,70.05160739
22,7-1201-4-27-1-26,37.38838921,6.945172609,3.264943871,13.45195824,171.6207859,28.37546692,70.34315216
23,7-1201-4-27-1-30,35.83802628,6.68529911,3.286172292,12.81070286,170.2606679,27.0153489,66.68646227
24,7-1201-4-29-1-07,35.09742109,6.646133475,3.243540244,13.550392,173.7628786,30.51755959,70.50781976
25,7-1201-4-29-1-10,34.18564543,6.577041133,3.215271311,13.7396213,174.7230975,31.47777848,70.9493264
26,7-1201-4-29-1-15,33.9016657,6.637793776,3.224421359,13.84989008,176.2624681,33.01714913,69.51936903
27,7-1201-4-29-1-16,34.80401938,6.535071313,3.243170999,13.87062619,173.7628786,30.51755959,70.06631312
28,7-1201-4-29-1-23,33.95455877,6.577344166,3.207995139,13.62842395,175.6306997,32.38538068,69.23607836
29,7-1201-4-29-1-27,34.96502025,6.540422678,3.260482055,13.4776115,173.7628786,30.51755959,70.28706644
30,7-1201-4-29-1-28,34.37982687,6.675437991,3.210938117,13.6668408,175.6833164,32.43799737,68.96254653
31,7-1201-4-29-1-32,35.25328701,6.633297513,3.245190984,13.695953,174.4830428,31.23772376,69.18329984
32,7-1201-4-29-1-33,36.0002157,6.622277845,3.267497703,13.6522847,178.8040278,35.55870877,68.96254653
