Year,Location,Genotype,HD,GFD,HT,SPS,TGW,GL,GW
2019,Snyder (A),QTgw.cnl-5A+,172.19,30.9,77.55,15.03,37.49,6.54,3.24
,,QTgw.cnl-5A-,172.57,30.98,74.96,14.76,31.22,6.4,2.93
,,,-0.22%,-0.26%,0.35%,1.80%,20.08% ***,2.2% ***,10.4% ***
2019,Snyder (B),QTgw.cnl-5A+,171.59,30.4,81.99,15.11,38.69,6.58,3.28
,,QTgw.cnl-5A-,172,30.82,78.67,14.57,31.87,6.41,2.95
,,,-0.24%,-1.40%,4.20%,3.7% **,21.4% ***,2.7% ***,11.1% ***
2019,Snyder (C),QTgw.cnl-5A+,173.56,,83.81,15.59,38.33,6.45,3.24
,,QTgw.cnl-5A-,171.67,,79.83,14.9,32.58,6.53,2.95
,,,1.10%,,4.90%,4.60%,17.6% ***,-1.20%,9.9% ***
2020,Caldwell,QTgw.cnl-5A+,174.21,29.36,66.24,12.71,38.21,6.92,3.53
,,QTgw.cnl-5A-,173.81,29.46,62.94,12.43,31.41,6.81,3.21
,,,0.23%,-0.35%,5.2% * ,2.20%,21.7% ***,1.6% **,10.2% ***
2020,Helfer,QTgw.cnl-5A+,172.13,29.23,58.73,11.71,36.58,6.8,3.45
,,QTgw.cnl-5A-,171.93,28.91,55.59,11.43,29,6.67,3.11
,,,0.12%,1.10%,5.7% **,2.40%,26.1% ***,1.9% ***,11.02% ***
BLUP,,QTgw.cnl-5A+,172.57,29.32,71.2,13.62,37.72,6.71,3.37
,,QTgw.cnl-5A-,172.63,29.39,68.45,13.43,31.09,6.58,3.06
,,,-0.04%,-0.26%,4.02% **,1.4% ***,21.3% ***,1.99% ***,10.3% ***
