Entry,chr5AS_status,KASP_341510829,BLUP_TGW,BLUP_GL,BLUP_GW,BLUP_SPS,BLUP_HD,BLUP_GFD,BLUP_HT
7-1201-10-14-2-14,absent,W7984,32.27785838,6.784242426,3.119811893,13.97766138,172.16756,28.88367112,73.59257817
7-1201-10-15-2-31,present,Opata,40.69321892,7.109863682,3.379061911,12.99807891,172.4078166,29.12826766,72.81662376
7-1201-10-36-2-04,present,Opata,40.23310284,6.899008569,3.40680272,13.40672845,172.4078166,29.47588243,71.17239544
7-1201-10-36-2-10,absent,W7984,34.14161694,6.674796892,3.120893022,13.30010808,172.8883297,29.63563229,68.68390577
7-1201-10-36-2-18,absent,W7984,33.16118768,6.568776118,3.106482053,13.62467487,172.4078166,29.13129625,72.3864889
7-1201-10-36-2-25,present,Opata,39.42721725,6.847135691,3.36947917,13.15262276,173.3688429,30.10665382,69.71280613
7-1201-10-43-2-03,present,Opata,38.52362372,6.6799645,3.353557142,13.72316684,173.1880806,29.91448789,71.28139081
7-1201-10-43-2-04,present,Opata,36.71245476,6.553058918,3.302350836,13.93611543,174.8103824,31.55454721,67.85295629
7-1201-10-43-2-12,present,Opata,34.93482971,6.453967884,3.23579766,13.9795687,174.1367821,30.88405398,67.76771562
7-1201-10-43-2-16,present,Opata,37.63250296,6.679575884,3.327334076,13.6415942,172.5556129,29.29667159,69.69658233
7-1201-10-43-2-20,present,Opata,37.1461348,6.583960063,3.361033159,13.65872589,172.8718467,29.58465708,73.36593182
7-1201-10-43-2-22,present,Opata,36.25169323,6.497606265,3.310297227,14.035838,172.5556129,29.29467896,69.97057711
7-1201-10-45-2-01,absent,W7984,31.02221815,6.550478117,3.072279037,13.59625514,172.16756,28.9245571,67.78575753
7-1201-10-45-2-23,absent,W7984,30.52706997,6.415469198,3.011158345,13.66789267,172.8883297,29.67651826,62.87708513
7-1201-10-45-2-43,present,Opata,35.95289306,6.569364104,3.280871546,14.09153446,174.239347,31.00587502,64.89483468
7-1201-10-45-2-61,present,Opata,37.93718792,6.814576012,3.375437669,13.13194257,171.9273034,28.65876042,71.57265597
7-1201-10-72-1-05,absent,W7984,31.69128946,6.547656816,3.101229355,13.33924502,171.9231452,28.64498051,72.76968521
7-1201-10-72-1-08,absent,W7984,31.91874943,6.532290277,3.111800019,13.44554746,170.9744437,27.72523028,69.43349074
7-1201-10-72-1-18,absent,W7984,31.17069939,6.513264267,3.073605554,13.6244625,172.239379,28.98875976,68.7671807
7-1201-10-72-1-29,absent,W7984,30.46847541,6.555994426,3.050091304,13.23973936,171.6870468,28.39902093,74.49928469
7-1201-10-72-1-30,absent,W7984,32.03497755,6.525327567,3.130319042,13.23917874,170.6582098,27.40536264,70.14805783
7-1201-4-27-1-26,present,Opata,40.49125784,7.045495917,3.423460487,13.5411887,171.5080768,28.25605028,71.73234659
7-1201-4-27-1-30,absent,W7984,32.18894381,6.643059486,3.131742756,12.86190367,170.4024766,27.18977606,66.9294154
