order,Group,Group_n,entry,TGW_BLUP,GW_BLUP,GL_BLUP,SPS_BLUP,HD_BLUP,HT_BLUP,GFD_BLUP,Phenotype_TGW,Phenotype_GW,CO
0.1,QTgw.cnl-5A+ ,QTgw.cnl-5A+ (9),7-1201-4-78-2-15,37.01806019,3.37232796,6.707129662,13.62595245,169.3457676,72.47898075,26.09859599,Opata,Opata,control
0.1,QTgw.cnl-5A+,QTgw.cnl-5A+ (9),7-1201-4-78-1-01,37.07340019,3.347953397,6.606906517,13.23445383,170.0665373,70.36618496,26.83087132,Opata,Opata,control
0.1,QTgw.cnl-5A+,QTgw.cnl-5A+ (9),7-1201-4-27-1-26,40.49125784,3.423460487,7.045495917,13.5411887,171.5080768,71.73234659,28.25605028,Opata,Opata,control
0.1,QTgw.cnl-5A+,QTgw.cnl-5A+ (9),7-1201-10-15-2-31,40.69321892,3.379061911,7.109863682,12.99807891,172.4078166,72.81662376,29.12826766,Opata,Opata,control
0.1,QTgw.cnl-5A+,QTgw.cnl-5A+ (9),7-1201-10-36-2-04,40.23310284,3.40680272,6.899008569,13.40672845,172.4078166,71.17239544,29.47588243,Opata,Opata,control
0.1,QTgw.cnl-5A+,QTgw.cnl-5A+ (9),7-956-2-89-2-17-01,38.69572223,3.400063885,6.88200923,13.9877697,170.7594057,68.16523014,27.53602361,Opata,Opata,control
0.1,QTgw.cnl-5A+,QTgw.cnl-5A+ (9),7-956-2-89-2-22-01,41.41536918,3.404387895,7.199992611,13.45690511,170.8829781,70.12256497,27.64442194,Opata,Opata,control
0.1,QTgw.cnl-5A+,QTgw.cnl-5A+ (9),7-956-2-89-2-22-02,43.10046613,3.447129889,7.407293974,13.30012402,172.2009452,69.53139177,28.96120257,Opata,Opata,control
0.1,QTgw.cnl-5A+,QTgw.cnl-5A+ (9),7-1201-10-36-2-25,39.42721725,3.36947917,6.847135691,13.15262276,173.3688429,69.71280613,30.10665382,Opata,Opata,control
0.2,QTgw.cnl-5A-,QTgw.cnl-5A- (11),7-956-2-19-1-44,29.98306878,3.091192464,6.314930186,13.30012402,172.2009452,65.01497571,28.99300277,W7984,W7984,control
0.2,QTgw.cnl-5A-,QTgw.cnl-5A- (11),7-956-2-30-1-22-01,33.99602183,3.066673501,7.066754356,13.64191112,171.8515542,68.69951825,28.6184441,W7984,W7984,control
0.2,QTgw.cnl-5A-,QTgw.cnl-5A- (11),7-956-2-30-1-22-02,33.00367056,3.057124589,7.062824309,13.23201577,172.2009452,65.66017801,28.98845989,W7984,W7984,control
0.2,QTgw.cnl-5A-,QTgw.cnl-5A- (11),7-956-2-30-1-26-01,33.5304286,3.060011697,7.056525197,13.63831246,171.720432,64.84634508,28.51592406,W7984,W7984,control
0.2,QTgw.cnl-5A-,QTgw.cnl-5A- (11),7-956-2-30-1-26-02,34.27467194,3.090295618,7.1373006,13.50444879,172.2009452,63.72457113,29.00208855,W7984,W7984,control
0.2,QTgw.cnl-5A-,QTgw.cnl-5A- (11),7-1201-4-27-1-30,32.18894381,3.131742756,6.643059486,12.86190367,170.4024766,66.9294154,27.18977606,W7984,W7984,control
0.2,QTgw.cnl-5A-,QTgw.cnl-5A- (11),7-1201-4-43-1-14,31.9496505,3.119835003,6.51124564,13.59214603,170.787307,61.15616394,27.61311839,W7984,W7984,control
0.2,QTgw.cnl-5A-,QTgw.cnl-5A- (11),7-1201-4-47-2-19,31.13960354,3.026415557,6.55180458,13.2812009,171.2678202,69.71242439,28.03113958,W7984,W7984,control
0.2,QTgw.cnl-5A-,QTgw.cnl-5A- (11),7-1201-4-50-1-19,31.48744947,3.048333008,6.655244553,13.13303459,174.3911557,69.73318635,31.13972271,W7984,W7984,control
0.2,QTgw.cnl-5A-,QTgw.cnl-5A- (11),7-956-2-12-1-18,27.56907133,2.940878561,6.086376403,13.77669626,177.7268465,71.04050919,34.45063638,W7984,W7984,control
0.2,QTgw.cnl-5A-,QTgw.cnl-5A- (11),7-1201-10-14-2-14,32.27785838,3.119811893,6.784242426,13.97766138,172.16756,73.59257817,28.88367112,W7984,W7984,control
0.3,1,Group 1 (5),7-956-2-50-1-01,37.05567389,3.300280516,6.654800889,13.55540613,171.4801754,71.2140527,28.23195584,Opata,Opata,476:480
0.3,1,Group 1 (5),7-956-2-50-1-54-07,38.4017657,3.399594822,6.687028277,13.89160106,171.4641238,73.33974632,28.20074871,Opata,Opata,476:480
0.3,1,Group 1 (5),7-1201-10-43-2-04,36.71245476,3.302350836,6.553058918,13.93611543,174.8103824,67.85295629,31.55454721,Opata,Opata,476:480
0.3,1,Group 1 (5),7-1201-10-43-2-20,37.1461348,3.361033159,6.583960063,13.65872589,172.8718467,73.36593182,29.58465708,Opata,Opata,476:480
0.3,1,Group 1 (5),7-1201-10-43-2-22,36.25169323,3.310297227,6.497606265,14.035838,172.5556129,69.97057711,29.29467896,Opata,Opata,476:480
0.4,2,Group 2 (13),7-956-2-89-2-17-02,37.35931406,3.33436809,6.92851919,13.49539735,171.7979853,74.04142978,28.52669228,Opata,Opata,452:455
0.4,2,Group 2 (13),7-956-2-9-2-03-02,41.27570294,3.44128196,6.941220878,13.36049275,173.4022281,54.89824817,30.25990004,Opata,Opata,452:455
0.4,2,Group 2 (13),7-956-2-9-2-03-05,41.22483196,3.466811366,6.885617459,13.81118366,173.6424847,56.70310294,30.48632503,Opata,Opata,452:455
0.4,2,Group 2 (13),7-956-2-9-2-07-01,34.05137841,3.225940555,6.977095235,12.55984916,171.2399189,66.82838876,28.02370239,Opata,Opata,452:455
0.4,2,Group 2 (13),7-956-2-9-2-21-05,44.41506647,3.541483038,7.089084876,13.47838191,172.4412018,61.65821213,29.25577086,Opata,Opata,452:455
0.4,2,Group 2 (13),7-1201-4-81-1-31,38.45036741,3.417121135,6.895968464,13.16331173,172.2288465,70.69488795,28.98075413,Opata,Opata,452:455
0.4,2,Group 2 (13),7-1201-4-81-1-39,38.42718905,3.436962324,6.710370952,13.26875567,171.5080768,67.6460654,28.28482189,Opata,Opata,452:455
0.4,2,Group 2 (13),7-1201-4-81-1-09,38.32727294,3.430659829,6.816685277,13.54471797,172.2288465,74.99623657,28.95046822,Opata,Opata,452:455
0.4,2,Group 2 (13),7-1201-4-81-1-19,38.84440087,3.424492475,6.857195292,13.42212311,172.2288465,71.55515768,28.97469694,Opata,Opata,452:455
0.4,2,Group 2 (13),7-1201-4-81-1-42,38.71307591,3.436593757,6.97610784,14.23706934,171.7483334,76.76321282,28.45976084,Opata,Opata,452:455
0.4,2,Group 2 (13),7-1201-4-81-1-43,38.58784156,3.428952135,6.907661572,13.72179944,172.2288465,74.99623657,28.95046822,Opata,Opata,452:455
0.4,2,Group 2 (13),7-956-2-9-2-20-01,40.74941167,3.469022768,6.92514897,13.82783915,171.4801754,63.68669261,28.28495618,Opata,Opata,452:455
0.4,2,Group 2 (13),7-1201-4-81-1-21,39.73841699,3.429664698,7.110651969,12.96369266,173.1898728,68.23627261,29.9545974,Opata,Opata,452:455
0.5,3,Group 3 (7),7-1201-4-50-1-08,37.62992396,3.33273158,6.747064806,13.24974733,173.1898728,71.24721665,29.93339726,Opata,Opata,439:444
0.5,3,Group 3 (7),7-1201-4-78-2-02,36.369843,3.381873845,6.700598156,14.01980391,169.105511,73.47000259,25.85248516,Opata,Opata,439:444
0.5,3,Group 3 (7),7-1201-4-78-2-05,36.81964654,3.383458683,6.556929488,13.60106199,169.8262807,72.86267882,26.57416041,Opata,Opata,439:444
0.5,3,Group 3 (7),7-1201-4-78-2-10,35.25458353,3.333382715,6.588681903,14.00853511,169.5860241,73.63863323,26.32956388,Opata,Opata,439:444
0.5,3,Group 3 (7),7-1201-4-78-2-25,35.74681112,3.34204404,6.636567382,13.90662044,171.0275636,68.98290678,27.79714311,Opata,Opata,439:444
0.5,3,Group 3 (7),7-1201-4-81-1-28,38.11729915,3.425241894,6.749645607,13.74483248,174.1508992,73.08994993,30.87695462,Opata,Opata,439:444
0.5,3,Group 3 (7),7-1201-4-78-2-33,37.67543262,3.427797292,6.661421352,14.21285988,169.5860241,76.43450983,26.30987803,Opata,Opata,439:444
0.6,4,Group 4 (20),7-956-2-19-1-12-01,36.63703036,3.394326526,6.682786067,13.93681236,171.4801754,71.42912013,28.23044154,Opata,Opata,404:423
0.6,4,Group 4 (20),7-956-2-19-1-12-04,35.88496204,3.344803408,6.647327574,13.7709997,170.9996623,70.6152872,27.75790571,Opata,Opata,404:423
0.6,4,Group 4 (20),7-956-2-19-1-12-06,34.82971235,3.331878992,6.619366857,13.89712383,171.720432,68.71755884,28.48866674,Opata,Opata,404:423
0.6,4,Group 4 (20),7-956-2-19-1-12-11,36.33387793,3.377434256,6.640044054,13.47096449,171.2704085,69.37634587,28.03525196,Opata,Opata,404:423
0.6,4,Group 4 (20),7-956-2-19-1-13-04,36.28105456,3.396046505,6.543104798,13.67447172,170.7594057,68.16523014,27.53602361,Opata,Opata,404:423
0.6,4,Group 4 (20),7-956-2-19-1-13-05,38.82910359,3.481185479,6.670016606,13.54128905,168.5970965,69.77213403,25.37251214,Opata,Opata,404:423
0.6,4,Group 4 (20),7-956-2-19-1-13-06,36.72968373,3.359742657,6.727528106,13.75081494,172.4412018,80.36907864,29.12402716,Opata,Opata,404:423
