family,entry,genotype,plot,tube,DPA,FW,DW,GW,GL
31,7-956-2-19-1-44,W7984,43,1,0,0.0128,0.0028,1.7415,2.4816
31,7-956-2-19-1-44,W7984,43,2,0,0.0129,0.0026,1.7641,2.2957
31,7-956-2-19-1-44,W7984,43,3,0,0.0162,0.003,2.0108,2.5726
31,7-956-2-19-1-44,W7984,43,4,0,0.0158,0.0033,1.9498,2.3906
31,7-956-2-19-1-44,W7984,43,5,0,0.0135,0.0028,1.7704,2.2601
31,7-956-2-19-1-44,W7984,43,6,0,0.0157,0.003,1.9629,2.4173
31,7-956-2-19-1-44,W7984,43,7,0,0.0126,0.0023,1.8366,2.4631
31,7-956-2-19-1-44,W7984,43,8,0,0.0156,0.0035,1.8906,2.2868
31,7-956-2-19-1-44,W7984,43,9,0,0.0112,0.0023,1.5919,2.036
31,7-956-2-19-1-44,W7984,43,10,0,0.0148,0.0032,1.864,2.3433
31,7-956-2-19-1-44,W7984,184,11,0,0.0146,0.0024,2.0187,2.6376
31,7-956-2-19-1-44,W7984,184,12,0,0.0137,0.0025,1.8181,2.3148
31,7-956-2-19-1-44,W7984,184,13,0,0.0141,0.0024,1.8464,2.2407
31,7-956-2-19-1-44,W7984,184,14,0,0.0163,0.0031,1.9069,2.5253
31,7-956-2-19-1-44,W7984,184,15,0,0.0174,0.0031,1.9685,2.4
31,7-956-2-19-1-44,W7984,184,16,0,0.0149,0.0027,1.8804,2.3745
31,7-956-2-19-1-44,W7984,184,17,0,0.0153,0.0028,1.9428,2.4729
31,7-956-2-19-1-44,W7984,184,18,0,0.0167,0.0032,1.9355,2.595
31,7-956-2-19-1-44,W7984,184,19,0,0.0142,0.0024,1.9333,2.3713
31,7-956-2-19-1-44,W7984,184,20,0,0.0133,0.0028,1.7934,2.4574
31,7-956-2-19-1-54,Opata,49,21,0,0.0147,0.0029,1.7828,2.4764
31,7-956-2-19-1-54,Opata,49,22,0,0.0154,0.0031,1.8403,2.3046
31,7-956-2-19-1-54,Opata,49,23,0,0.0163,0.0033,1.8841,2.422
31,7-956-2-19-1-54,Opata,49,24,0,0.0102,0.0015,1.5068,1.9712
31,7-956-2-19-1-54,Opata,49,25,0,0.0134,0.0024,1.8361,2.4028
31,7-956-2-19-1-54,Opata,49,26,0,0.0144,0.0026,1.839,2.1752
31,7-956-2-19-1-54,Opata,49,27,0,0.0132,0.0027,1.8555,2.4181
31,7-956-2-19-1-54,Opata,49,28,0,0.0097,0.0019,1.5899,1.9816
31,7-956-2-19-1-54,Opata,49,29,0,0.0147,0.0026,1.842,2.3358
