family,entry,haplotype,gh_stake,tube,DPA,FW,DW,GW,GL
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,1,0,0.0305,0.0065,2.2609,2.7736
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,2,0,0.0239,0.0049,2.1714,2.6764
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,3,0,0.0242,0.0054,2.2847,2.6857
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,4,0,0.0264,0.0058,2.316,2.8477
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,5,0,0.0252,0.0059,2.2791,2.7899
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,6,0,0.0233,0.0058,2.141,2.6542
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,7,0,0.0281,0.0064,2.2997,2.8321
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,8,0,0.0273,0.0066,2.3385,2.9859
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,9,0,0.0269,0.0061,2.333,2.7613
7-956-2-19-1,7-956-2-19-1-31-03,Opata,1,10,0,0.0268,0.0064,2.2717,2.8404
7-956-2-19-1,7-956-2-19-1-44,W7984,2,11,0,0.0296,0.0062,2.4961,3.058
7-956-2-19-1,7-956-2-19-1-44,W7984,2,12,0,0.0252,0.0055,2.205,3.0791
7-956-2-19-1,7-956-2-19-1-44,W7984,2,13,0,0.0246,0.0054,2.1983,3.1181
7-956-2-19-1,7-956-2-19-1-44,W7984,2,14,0,0.0241,0.0052,2.3414,2.9836
7-956-2-19-1,7-956-2-19-1-44,W7984,2,15,0,0.0218,0.0051,2.072,2.8845
7-956-2-19-1,7-956-2-19-1-44,W7984,2,16,0,0.0244,0.0052,2.2763,2.8048
7-956-2-19-1,7-956-2-19-1-44,W7984,2,17,0,0.0195,0.0048,2.1216,3.1568
7-956-2-19-1,7-956-2-19-1-44,W7984,2,18,0,0.0298,0.0065,2.4304,3.0601
7-956-2-19-1,7-956-2-19-1-44,W7984,2,19,0,0.0199,0.0048,2.0847,3.0539
7-956-2-19-1,7-956-2-19-1-44,W7984,2,20,0,0.0187,0.0044,2.2033,2.9338
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,21,0,0.0253,0.0056,2.2087,2.8407
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,22,0,0.0224,0.0052,2.0784,2.9037
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,23,0,0.0218,0.0053,2.1622,2.7221
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,24,0,0.0213,0.0054,2.1972,3.0038
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,25,0,0.0232,0.0057,2.2616,3.0931
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,26,0,0.0294,0.0068,2.4355,3.0916
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,27,0,0.0238,0.0059,2.2248,2.7237
7-956-2-19-1,7-956-2-19-1-31-05,CO1,3,28,0,0.0202,0.005,2.1596,2.6125
