Haplotype,DPA,Replicate,fq.gz_name,Reads,Reads_aligned,%_Reads_Aligned,multiple_loci ,%_multiple_loci 
Opata,4,1,A2_2,27033972,25016485,92.54,1196391,4.43
Opata,4,2,A3,27330068,25352802,92.77,1047789,3.83
Opata,4,3,A4_1,30377609,26207975,86.27,1424269,4.69
Opata,8,1,E19_1,23791449,20342622,85.5,1696909,7.13
Opata,8,2,E1_1,31328641,26771777,85.45,2217692,7.08
Opata,8,3,E20_1,22465315,19225995,85.58,1646557,7.33
W7984,4,1,B1,37031491,34450663,93.03,1405764,3.8
W7984,4,2,B2,22203928,20636346,92.94,882201,3.97
W7984,4,3,B8_1,22744898,19738818,86.78,1202657,5.29
W7984,8,1,F22_1,22018190,19144266,86.95,1388395,6.31
W7984,8,2,F24_0,21866853,19224494,87.92,1279005,5.85
W7984,8,3,F4_1,25903888,23016491,88.85,1489362,5.75
Recombinant I,4,1,C10_1,26537336,22234238,83.78,1337933,5.04
Recombinant I,4,2,C1 ,24077173,22331598,92.75,1041225,4.32
Recombinant I,4,3,C4_1,25034525,23240380,92.83,1030570,4.12
Recombinant I,8,1,G25_0,25749309,22697730,88.15,1499611,5.82
Recombinant I,8,2,G27_1,27125840,24407999,89.98,1433462,5.28
Recombinant I,8,3,G2,25883147,23307174,90.05,1369107,5.29
Recombinant II,4,1,D16_2,24813676,22645892,91.26,1127838,4.55
Recombinant II,4,2,D1 ,23630104,21975316,93,900776,3.81
Recombinant II,4,3,D3,27461318,25420897,92.57,1089931,3.97
Recombinant II,8,1,H31_1,24052078,21012731,87.36,1448383,6.02
Recombinant II,8,2,H32_2,29541424,25430967,86.09,1823441,6.17
Recombinant II,8,3,H4_4,23081425,20762665,89.95,1207795,5.23
,,,Total,621083657,554596321,,32187063,
,,,Mean,25878486,23108180,89,1341128,5
,,,Std. error,721481,682021,0.625,62401,0.22
