rownames,genotype,rep,condition,group,time,batch,fq.gz_name
Opata_4.1,Opata,1,1,Opata_4DPA,4,Overseas,A2_2
Opata_4.2,Opata,2,1,Opata_4DPA,4,Overseas,A3
Opata_4.3,Opata,3,1,Opata_4DPA,4,US,A4_1
W7984_4.1,W7894,1,2,W7984_4DPA,4,Overseas,B1
W7984_4.2,W7894,2,2,W7984_4DPA,4,Overseas,B2
W7984_4.3,W7894,3,2,W7984_4DPA,4,US,B8_1
CO1_4.1,CO1,1,3,CO1_4DPA,4,US,C10_1
CO1_4.2,CO1,2,3,CO1_4DPA,4,Overseas,C1 
CO1_4.3,CO1,3,3,CO1_4DPA,4,Overseas,C4_1
CO2_4.1,CO2,1,4,CO2_4DPA,4,US,D16_2
CO2_4.2,CO2,2,4,CO2_4DPA,4,Overseas,D1 
CO2_4.3,CO2,3,4,CO2_4DPA,4,Overseas,D3
Opata_8.1,Opata,1,5,Opata_8DPA,8,US,E19_1
Opata_8.2,Opata,2,5,Opata_8DPA,8,Overseas,E1_1
Opata_8.3,Opata,3,5,Opata_8DPA,8,US,E20_1
W7984_8.1,W7894,1,6,W7984_8DPA,8,US,F22_1
W7984_8.2,W7894,2,6,W7984_8DPA,8,US,F24_0
W7984_8.3,W7894,3,6,W7984_8DPA,8,Overseas,F4_1
CO1_8.1,CO1,1,7,CO1_8DPA,8,US,G25_0
CO1_8.2,CO1,2,7,CO1_8DPA,8,US,G27_1
CO1_8.3,CO1,3,7,CO1_8DPA,8,Overseas,G2
CO2_8.1,CO2,1,8,CO2_8DPA,8,US,H31_1
CO2_8.2,CO2,2,8,CO2_8DPA,8,US,H32_2
CO2_8.3,CO2,3,8,CO2_8DPA,8,Overseas,H4_4
