,gene_id,chr,start,end,padj_OW_4DPA,padj_CW_4DPA,padj_C2W_4DPA,padj_OW_8DPA,padj_CW_8DPA,padj_C2W_8DPA
1,TraesCS1A02G101000,chr1A,97643035,97647138,1.27E-06,1.25E-06,1.45E-06,3.87E-07,6.79E-06,1.55E-06
2,TraesCS1A02G103500,chr1A,99657553,99659873,3.22E-07,7.11E-07,3.88E-09,NA,NA,NA
3,TraesCS1A02G103600,chr1A,99697964,99701912,1.97E-10,1.55E-09,2.94E-10,1.96E-40,7.11E-49,1.10E-34
4,TraesCS1A02G103900,chr1A,99868032,99871106,3.99E-08,2.95E-08,4.32E-09,1.07E-07,5.75E-08,6.25E-08
5,TraesCS1A02G114600,chr1A,118809204,118815557,6.65E-07,3.41E-06,2.80E-07,1.41E-05,0.006496366,4.33E-05
6,TraesCS1A02G115400,chr1A,119739449,119740541,1.72E-21,3.33E-20,1.95E-13,6.21E-38,2.57E-20,4.81E-35
7,TraesCS1A02G132000,chr1A,177483605,177485389,7.21E-05,0.000125269,0.005223167,NA,NA,NA
8,TraesCS1A02G142700,chr1A,244500835,244503810,1.01E-08,3.79E-08,1.44E-08,6.76E-07,1.85E-06,1.62E-07
9,TraesCS1A02G143200,chr1A,246127690,246130525,2.32E-06,2.54E-06,2.38E-07,2.45E-05,3.82E-05,1.20E-05
10,TraesCS1A02G150300,chr1A,257987100,257987438,0.005261444,0.008006564,0.002744642,NA,NA,NA
11,TraesCS1A02G155900,chr1A,276323725,276325756,0.004719186,0.003844209,0.00061148,0.003030758,0.004695,0.00247164
12,TraesCS1A02G159700,chr1A,286915745,286916579,2.61E-20,1.54E-19,1.11E-20,1.29E-25,9.29E-35,3.58E-30
13,TraesCS1A02G165500,chr1A,298108442,298116154,8.29E-12,3.98E-12,7.78E-12,1.32E-06,9.35E-07,1.53E-06
14,TraesCS1A02G189500,chr1A,342875131,342878854,8.26E-06,1.49E-06,5.83E-07,0.000300754,0.00025959,0.000216902
15,TraesCS1A02G195000,chr1A,352013037,352016495,6.35E-11,1.10E-10,9.29E-11,8.90E-16,1.69E-13,1.77E-15
16,TraesCS1B02G033400,chr1B,16228502,16231600,0.007074039,0.006594589,0.001154475,NA,NA,NA
17,TraesCS3A02G495200,chr3A,721295526,721296058,2.61E-11,5.77E-11,2.03E-11,NA,NA,NA
18,TraesCS5A02G000100,chr5A,10126,18461,4.31E-06,4.86E-07,5.99E-06,2.93E-06,3.22E-05,4.24E-06
19,TraesCS5A02G000600,chr5A,638578,644527,2.38E-11,1.07E-11,4.54E-12,6.29E-12,4.76E-12,2.69E-12
20,TraesCS5A02G000900,chr5A,692543,694327,2.54E-09,8.09E-09,7.72E-10,2.99E-06,1.00E-05,5.87E-07
21,TraesCS5A02G001500,chr5A,1218671,1227119,1.61E-13,5.93E-14,1.56E-13,5.60E-08,2.20E-08,2.26E-08
22,TraesCS5A02G002600,chr5A,2108869,2113862,5.29E-08,1.21E-08,1.79E-08,3.60E-10,1.20E-09,1.29E-10
23,TraesCS5A02G002700,chr5A,2120701,2126503,4.09E-13,6.47E-13,5.66E-13,2.98E-14,1.61E-13,1.25E-13
24,TraesCS5A02G003200,chr5A,2408790,2412563,1.77E-09,1.64E-10,2.62E-09,2.04E-06,3.85E-07,2.70E-06
25,TraesCS5A02G003800,chr5A,2645238,2650209,1.94E-09,1.41E-09,2.75E-10,0.000440332,7.09E-05,8.74E-05
26,TraesCS5A02G003900,chr5A,2727177,2728795,1.07E-06,3.75E-06,7.56E-05,0.000220207,0.001088451,1.26E-05
27,TraesCS5A02G004000,chr5A,2865722,2870015,3.93E-09,4.62E-09,4.57E-10,6.53E-06,1.60E-05,8.92E-06
28,TraesCS5A02G004100,chr5A,2870634,2874348,7.21E-05,1.89E-05,6.17E-06,NA,NA,NA
29,TraesCS5A02G004200,chr5A,2893332,2899721,1.20E-38,3.02E-38,3.48E-36,2.34E-22,1.45E-22,2.06E-21
30,TraesCS5A02G004300,chr5A,2970570,2976325,2.90E-11,2.45E-11,5.01E-21,3.15E-08,3.81E-08,1.56E-16
31,TraesCS5A02G005000,chr5A,3312172,3315225,0.000121775,0.000110466,0.000257131,9.64E-05,0.001291982,0.000151665
32,TraesCS5A02G005500,chr5A,3390922,3406014,1.16E-10,5.77E-11,2.34E-11,1.27E-31,5.40E-27,8.99E-29
33,TraesCS5A02G006100,chr5A,3518743,3522158,9.67E-11,3.15E-11,4.63E-11,0.000197352,1.59E-05,5.52E-05
34,TraesCS5A02G006200,chr5A,3524460,3528789,7.89E-08,7.50E-08,3.68E-08,1.48E-06,1.78E-06,5.98E-07
35,TraesCS5A02G007800,chr5A,4847805,4852706,1.06E-10,2.60E-10,7.72E-10,2.73E-06,6.19E-07,7.73E-08
36,TraesCS5A02G008000,chr5A,5286347,5298937,6.45E-08,1.21E-08,1.63E-08,1.02E-08,5.04E-08,3.02E-08
37,TraesCS5A02G008100,chr5A,5700716,5719719,5.16E-12,6.32E-12,9.20E-13,4.62E-10,7.52E-09,2.31E-10
38,TraesCS5A02G008300,chr5A,5989148,5999236,3.08E-21,5.92E-23,1.20E-25,1.19E-17,4.34E-17,1.31E-18
39,TraesCS5A02G008500,chr5A,6146679,6165534,6.92E-06,7.53E-07,5.98E-07,1.99E-05,0.000116447,3.87E-06
40,TraesCS5A02G009300,chr5A,6489601,6493759,1.67E-06,1.35E-06,2.32E-07,0.000126836,6.84E-05,1.72E-07
41,TraesCS5A02G009700,chr5A,6614883,6620347,1.55E-09,4.89E-10,6.63E-11,3.37E-07,1.49E-07,8.90E-09
42,TraesCS5A02G009800,chr5A,6621498,6628092,0.000311452,0.000739804,2.08E-06,0.000362581,0.002926026,1.79E-06
43,TraesCS5A02G010000,chr5A,6665804,6668336,4.62E-14,1.03E-13,4.96E-14,2.06E-11,2.09E-11,1.63E-11
44,TraesCS5A02G010100,chr5A,6669251,6677498,8.48E-08,7.28E-07,6.14E-07,6.59E-07,3.28E-06,8.74E-07
45,TraesCS5A02G010200,chr5A,6702856,6715117,6.32E-15,2.74E-15,3.42E-16,6.06E-09,1.08E-08,3.32E-09
46,TraesCS5A02G010300,chr5A,6718688,6727277,7.56E-08,1.27E-07,1.74E-08,7.09E-06,4.59E-06,8.52E-06
47,TraesCS5A02G010500,chr5A,6797997,6799208,3.22E-05,0.000112989,7.01E-06,0.001525385,0.001904783,1.17E-05
48,TraesCS5A02G011000,chr5A,7189904,7195842,1.48E-05,2.70E-06,5.49E-06,NA,NA,NA
49,TraesCS5A02G011100,chr5A,7360180,7362343,6.15E-07,6.09E-07,6.27E-08,8.30E-08,3.37E-08,5.27E-08
